datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,kommentar
2020-01-01,00:00:00,00:15:00,Arnulf,0,1,1,NA
2020-01-01,00:15:00,00:30:00,Arnulf,0,2,2,NA
2020-01-01,00:30:00,00:45:00,Arnulf,0,0,0,NA
2020-01-01,00:45:00,01:00:00,Arnulf,0,0,0,NA
2020-01-01,01:00:00,01:15:00,Arnulf,2,0,2,NA
2020-01-01,01:15:00,01:30:00,Arnulf,0,1,1,NA
2020-01-01,01:30:00,01:45:00,Arnulf,1,1,2,NA
2020-01-01,01:45:00,02:00:00,Arnulf,0,0,0,NA
2020-01-01,02:00:00,02:15:00,Arnulf,0,0,0,NA
2020-01-01,02:15:00,02:30:00,Arnulf,1,0,1,NA
2020-01-01,02:30:00,02:45:00,Arnulf,6,0,6,NA
2020-01-01,02:45:00,03:00:00,Arnulf,2,0,2,NA
2020-01-01,03:00:00,03:15:00,Arnulf,1,0,1,NA
2020-01-01,03:15:00,03:30:00,Arnulf,3,0,3,NA
2020-01-01,03:30:00,03:45:00,Arnulf,1,0,1,NA
2020-01-01,03:45:00,04:00:00,Arnulf,1,1,2,NA
2020-01-01,04:00:00,04:15:00,Arnulf,0,0,0,NA
2020-01-01,04:15:00,04:30:00,Arnulf,0,0,0,NA
2020-01-01,04:30:00,04:45:00,Arnulf,0,0,0,NA
2020-01-01,04:45:00,05:00:00,Arnulf,2,0,2,NA
2020-01-01,05:00:00,05:15:00,Arnulf,0,0,0,NA
2020-01-01,05:15:00,05:30:00,Arnulf,1,0,1,NA
2020-01-01,05:30:00,05:45:00,Arnulf,3,0,3,NA
2020-01-01,05:45:00,06:00:00,Arnulf,2,1,3,NA
2020-01-01,06:00:00,06:15:00,Arnulf,1,0,1,NA
2020-01-01,06:15:00,06:30:00,Arnulf,1,1,2,NA
2020-01-01,06:30:00,06:45:00,Arnulf,1,0,1,NA
2020-01-01,06:45:00,07:00:00,Arnulf,1,0,1,NA
2020-01-01,07:00:00,07:15:00,Arnulf,2,0,2,NA
2020-01-01,07:15:00,07:30:00,Arnulf,0,1,1,NA
2020-01-01,07:30:00,07:45:00,Arnulf,0,0,0,NA
2020-01-01,07:45:00,08:00:00,Arnulf,0,0,0,NA
2020-01-01,08:00:00,08:15:00,Arnulf,0,1,1,NA
2020-01-01,08:15:00,08:30:00,Arnulf,1,0,1,NA
2020-01-01,08:30:00,08:45:00,Arnulf,1,0,1,NA
2020-01-01,08:45:00,09:00:00,Arnulf,0,0,0,NA
2020-01-01,09:00:00,09:15:00,Arnulf,2,0,2,NA
2020-01-01,09:15:00,09:30:00,Arnulf,3,0,3,NA
2020-01-01,09:30:00,09:45:00,Arnulf,1,0,1,NA
2020-01-01,09:45:00,10:00:00,Arnulf,3,1,4,NA
2020-01-01,10:00:00,10:15:00,Arnulf,1,0,1,NA
2020-01-01,10:15:00,10:30:00,Arnulf,1,0,1,NA
2020-01-01,10:30:00,10:45:00,Arnulf,1,0,1,NA
2020-01-01,10:45:00,11:00:00,Arnulf,3,0,3,NA
2020-01-01,11:00:00,11:15:00,Arnulf,2,0,2,NA
2020-01-01,11:15:00,11:30:00,Arnulf,2,0,2,NA
2020-01-01,11:30:00,11:45:00,Arnulf,2,2,4,NA
2020-01-01,11:45:00,12:00:00,Arnulf,0,0,0,NA
2020-01-01,12:00:00,12:15:00,Arnulf,10,0,10,NA
2020-01-01,12:15:00,12:30:00,Arnulf,0,0,0,NA
2020-01-01,12:30:00,12:45:00,Arnulf,1,1,2,NA
2020-01-01,12:45:00,13:00:00,Arnulf,5,0,5,NA
2020-01-01,13:00:00,13:15:00,Arnulf,4,1,5,NA
2020-01-01,13:15:00,13:30:00,Arnulf,2,0,2,NA
2020-01-01,13:30:00,13:45:00,Arnulf,5,0,5,NA
2020-01-01,13:45:00,14:00:00,Arnulf,6,0,6,NA
2020-01-01,14:00:00,14:15:00,Arnulf,2,1,3,NA
2020-01-01,14:15:00,14:30:00,Arnulf,3,0,3,NA
2020-01-01,14:30:00,14:45:00,Arnulf,1,0,1,NA
2020-01-01,14:45:00,15:00:00,Arnulf,4,1,5,NA
2020-01-01,15:00:00,15:15:00,Arnulf,7,0,7,NA
2020-01-01,15:15:00,15:30:00,Arnulf,8,0,8,NA
2020-01-01,15:30:00,15:45:00,Arnulf,12,1,13,NA
2020-01-01,15:45:00,16:00:00,Arnulf,3,0,3,NA
2020-01-01,16:00:00,16:15:00,Arnulf,7,0,7,NA
2020-01-01,16:15:00,16:30:00,Arnulf,9,2,11,NA
2020-01-01,16:30:00,16:45:00,Arnulf,4,0,4,NA
2020-01-01,16:45:00,17:00:00,Arnulf,7,0,7,NA
2020-01-01,17:00:00,17:15:00,Arnulf,5,2,7,NA
2020-01-01,17:15:00,17:30:00,Arnulf,0,1,1,NA
2020-01-01,17:30:00,17:45:00,Arnulf,2,0,2,NA
2020-01-01,17:45:00,18:00:00,Arnulf,1,0,1,NA
2020-01-01,18:00:00,18:15:00,Arnulf,2,0,2,NA
2020-01-01,18:15:00,18:30:00,Arnulf,2,0,2,NA
2020-01-01,18:30:00,18:45:00,Arnulf,5,2,7,NA
2020-01-01,18:45:00,19:00:00,Arnulf,4,0,4,NA
2020-01-01,19:00:00,19:15:00,Arnulf,1,0,1,NA
2020-01-01,19:15:00,19:30:00,Arnulf,3,0,3,NA
2020-01-01,19:30:00,19:45:00,Arnulf,2,0,2,NA
2020-01-01,19:45:00,20:00:00,Arnulf,2,0,2,NA
2020-01-01,20:00:00,20:15:00,Arnulf,1,0,1,NA
2020-01-01,20:15:00,20:30:00,Arnulf,2,1,3,NA
2020-01-01,20:30:00,20:45:00,Arnulf,2,0,2,NA
2020-01-01,20:45:00,21:00:00,Arnulf,1,0,1,NA
2020-01-01,21:00:00,21:15:00,Arnulf,0,0,0,NA
2020-01-01,21:15:00,21:30:00,Arnulf,0,0,0,NA
2020-01-01,21:30:00,21:45:00,Arnulf,0,0,0,NA
2020-01-01,21:45:00,22:00:00,Arnulf,1,0,1,NA
2020-01-01,22:00:00,22:15:00,Arnulf,1,0,1,NA
2020-01-01,22:15:00,22:30:00,Arnulf,3,0,3,NA
2020-01-01,22:30:00,22:45:00,Arnulf,2,0,2,NA
2020-01-01,22:45:00,23:00:00,Arnulf,0,1,1,NA
2020-01-01,23:00:00,23:15:00,Arnulf,1,0,1,NA
2020-01-01,23:15:00,23:30:00,Arnulf,3,0,3,NA
2020-01-01,23:30:00,23:45:00,Arnulf,0,0,0,NA
2020-01-01,23:45:00,00:00:00,Arnulf,0,0,0,NA
2020-01-02,00:00:00,00:15:00,Arnulf,0,1,1,NA
2020-01-02,00:15:00,00:30:00,Arnulf,0,0,0,NA
2020-01-02,00:30:00,00:45:00,Arnulf,1,0,1,NA
2020-01-02,00:45:00,01:00:00,Arnulf,0,0,0,NA
2020-01-02,01:00:00,01:15:00,Arnulf,0,0,0,NA
2020-01-02,01:15:00,01:30:00,Arnulf,1,0,1,NA
2020-01-02,01:30:00,01:45:00,Arnulf,0,0,0,NA
2020-01-02,01:45:00,02:00:00,Arnulf,0,0,0,NA
2020-01-02,02:00:00,02:15:00,Arnulf,0,0,0,NA
2020-01-02,02:15:00,02:30:00,Arnulf,1,0,1,NA
2020-01-02,02:30:00,02:45:00,Arnulf,0,0,0,NA
2020-01-02,02:45:00,03:00:00,Arnulf,0,0,0,NA
2020-01-02,03:00:00,03:15:00,Arnulf,0,0,0,NA
2020-01-02,03:15:00,03:30:00,Arnulf,1,0,1,NA
2020-01-02,03:30:00,03:45:00,Arnulf,0,0,0,NA
2020-01-02,03:45:00,04:00:00,Arnulf,1,0,1,NA
2020-01-02,04:00:00,04:15:00,Arnulf,1,0,1,NA
2020-01-02,04:15:00,04:30:00,Arnulf,0,0,0,NA
2020-01-02,04:30:00,04:45:00,Arnulf,1,0,1,NA
2020-01-02,04:45:00,05:00:00,Arnulf,0,1,1,NA
2020-01-02,05:00:00,05:15:00,Arnulf,1,1,2,NA
2020-01-02,05:15:00,05:30:00,Arnulf,2,1,3,NA
2020-01-02,05:30:00,05:45:00,Arnulf,2,0,2,NA
2020-01-02,05:45:00,06:00:00,Arnulf,5,0,5,NA
2020-01-02,06:00:00,06:15:00,Arnulf,3,0,3,NA
2020-01-02,06:15:00,06:30:00,Arnulf,4,1,5,NA
2020-01-02,06:30:00,06:45:00,Arnulf,7,0,7,NA
2020-01-02,06:45:00,07:00:00,Arnulf,3,0,3,NA
2020-01-02,07:00:00,07:15:00,Arnulf,7,1,8,NA
2020-01-02,07:15:00,07:30:00,Arnulf,10,1,11,NA
2020-01-02,07:30:00,07:45:00,Arnulf,9,0,9,NA
2020-01-02,07:45:00,08:00:00,Arnulf,8,0,8,NA
2020-01-02,08:00:00,08:15:00,Arnulf,16,1,17,NA
2020-01-02,08:15:00,08:30:00,Arnulf,20,0,20,NA
2020-01-02,08:30:00,08:45:00,Arnulf,15,2,17,NA
2020-01-02,08:45:00,09:00:00,Arnulf,11,0,11,NA
2020-01-02,09:00:00,09:15:00,Arnulf,17,5,22,NA
2020-01-02,09:15:00,09:30:00,Arnulf,8,4,12,NA
2020-01-02,09:30:00,09:45:00,Arnulf,7,1,8,NA
2020-01-02,09:45:00,10:00:00,Arnulf,9,2,11,NA
2020-01-02,10:00:00,10:15:00,Arnulf,6,0,6,NA
2020-01-02,10:15:00,10:30:00,Arnulf,2,0,2,NA
2020-01-02,10:30:00,10:45:00,Arnulf,15,1,16,NA
2020-01-02,10:45:00,11:00:00,Arnulf,9,0,9,NA
2020-01-02,11:00:00,11:15:00,Arnulf,7,1,8,NA
2020-01-02,11:15:00,11:30:00,Arnulf,16,1,17,NA
2020-01-02,11:30:00,11:45:00,Arnulf,9,0,9,NA
2020-01-02,11:45:00,12:00:00,Arnulf,15,1,16,NA
2020-01-02,12:00:00,12:15:00,Arnulf,19,4,23,NA
2020-01-02,12:15:00,12:30:00,Arnulf,12,1,13,NA
2020-01-02,12:30:00,12:45:00,Arnulf,10,1,11,NA
2020-01-02,12:45:00,13:00:00,Arnulf,15,2,17,NA
2020-01-02,13:00:00,13:15:00,Arnulf,10,2,12,NA
2020-01-02,13:15:00,13:30:00,Arnulf,11,1,12,NA
2020-01-02,13:30:00,13:45:00,Arnulf,7,1,8,NA
2020-01-02,13:45:00,14:00:00,Arnulf,9,0,9,NA
2020-01-02,14:00:00,14:15:00,Arnulf,8,0,8,NA
2020-01-02,14:15:00,14:30:00,Arnulf,14,1,15,NA
2020-01-02,14:30:00,14:45:00,Arnulf,19,1,20,NA
2020-01-02,14:45:00,15:00:00,Arnulf,14,3,17,NA
2020-01-02,15:00:00,15:15:00,Arnulf,7,1,8,NA
2020-01-02,15:15:00,15:30:00,Arnulf,8,2,10,NA
2020-01-02,15:30:00,15:45:00,Arnulf,6,2,8,NA
2020-01-02,15:45:00,16:00:00,Arnulf,20,0,20,NA
2020-01-02,16:00:00,16:15:00,Arnulf,13,2,15,NA
2020-01-02,16:15:00,16:30:00,Arnulf,8,2,10,NA
2020-01-02,16:30:00,16:45:00,Arnulf,14,1,15,NA
2020-01-02,16:45:00,17:00:00,Arnulf,14,2,16,NA
2020-01-02,17:00:00,17:15:00,Arnulf,12,2,14,NA
2020-01-02,17:15:00,17:30:00,Arnulf,14,0,14,NA
2020-01-02,17:30:00,17:45:00,Arnulf,13,3,16,NA
2020-01-02,17:45:00,18:00:00,Arnulf,14,1,15,NA
2020-01-02,18:00:00,18:15:00,Arnulf,16,1,17,NA
2020-01-02,18:15:00,18:30:00,Arnulf,13,3,16,NA
2020-01-02,18:30:00,18:45:00,Arnulf,6,2,8,NA
2020-01-02,18:45:00,19:00:00,Arnulf,2,1,3,NA
2020-01-02,19:00:00,19:15:00,Arnulf,9,0,9,NA
2020-01-02,19:15:00,19:30:00,Arnulf,7,1,8,NA
2020-01-02,19:30:00,19:45:00,Arnulf,5,0,5,NA
2020-01-02,19:45:00,20:00:00,Arnulf,4,1,5,NA
2020-01-02,20:00:00,20:15:00,Arnulf,2,0,2,NA
2020-01-02,20:15:00,20:30:00,Arnulf,4,2,6,NA
2020-01-02,20:30:00,20:45:00,Arnulf,3,1,4,NA
2020-01-02,20:45:00,21:00:00,Arnulf,3,0,3,NA
2020-01-02,21:00:00,21:15:00,Arnulf,1,1,2,NA
2020-01-02,21:15:00,21:30:00,Arnulf,0,0,0,NA
2020-01-02,21:30:00,21:45:00,Arnulf,2,0,2,NA
2020-01-02,21:45:00,22:00:00,Arnulf,3,0,3,NA
2020-01-02,22:00:00,22:15:00,Arnulf,2,0,2,NA
2020-01-02,22:15:00,22:30:00,Arnulf,3,0,3,NA
2020-01-02,22:30:00,22:45:00,Arnulf,0,2,2,NA
2020-01-02,22:45:00,23:00:00,Arnulf,2,0,2,NA
2020-01-02,23:00:00,23:15:00,Arnulf,3,0,3,NA
2020-01-02,23:15:00,23:30:00,Arnulf,1,0,1,NA
2020-01-02,23:30:00,23:45:00,Arnulf,0,0,0,NA
2020-01-02,23:45:00,00:00:00,Arnulf,0,0,0,NA
2020-01-03,00:00:00,00:15:00,Arnulf,4,0,4,NA
2020-01-03,00:15:00,00:30:00,Arnulf,0,1,1,NA
2020-01-03,00:30:00,00:45:00,Arnulf,0,0,0,NA
2020-01-03,00:45:00,01:00:00,Arnulf,0,0,0,NA
2020-01-03,01:00:00,01:15:00,Arnulf,1,0,1,NA
2020-01-03,01:15:00,01:30:00,Arnulf,0,0,0,NA
2020-01-03,01:30:00,01:45:00,Arnulf,0,0,0,NA
2020-01-03,01:45:00,02:00:00,Arnulf,0,0,0,NA
2020-01-03,02:00:00,02:15:00,Arnulf,0,0,0,NA
2020-01-03,02:15:00,02:30:00,Arnulf,0,0,0,NA
2020-01-03,02:30:00,02:45:00,Arnulf,0,0,0,NA
2020-01-03,02:45:00,03:00:00,Arnulf,0,0,0,NA
2020-01-03,03:00:00,03:15:00,Arnulf,0,0,0,NA
2020-01-03,03:15:00,03:30:00,Arnulf,0,0,0,NA
2020-01-03,03:30:00,03:45:00,Arnulf,1,0,1,NA
2020-01-03,03:45:00,04:00:00,Arnulf,0,0,0,NA
2020-01-03,04:00:00,04:15:00,Arnulf,0,0,0,NA
2020-01-03,04:15:00,04:30:00,Arnulf,0,0,0,NA
2020-01-03,04:30:00,04:45:00,Arnulf,1,0,1,NA
2020-01-03,04:45:00,05:00:00,Arnulf,0,1,1,NA
2020-01-03,05:00:00,05:15:00,Arnulf,2,0,2,NA
2020-01-03,05:15:00,05:30:00,Arnulf,4,1,5,NA
2020-01-03,05:30:00,05:45:00,Arnulf,1,0,1,NA
2020-01-03,05:45:00,06:00:00,Arnulf,6,0,6,NA
2020-01-03,06:00:00,06:15:00,Arnulf,6,1,7,NA
2020-01-03,06:15:00,06:30:00,Arnulf,4,0,4,NA
2020-01-03,06:30:00,06:45:00,Arnulf,6,0,6,NA
2020-01-03,06:45:00,07:00:00,Arnulf,4,1,5,NA
2020-01-03,07:00:00,07:15:00,Arnulf,6,0,6,NA
2020-01-03,07:15:00,07:30:00,Arnulf,6,0,6,NA
2020-01-03,07:30:00,07:45:00,Arnulf,8,1,9,NA
2020-01-03,07:45:00,08:00:00,Arnulf,9,0,9,NA
2020-01-03,08:00:00,08:15:00,Arnulf,11,2,13,NA
2020-01-03,08:15:00,08:30:00,Arnulf,17,1,18,NA
2020-01-03,08:30:00,08:45:00,Arnulf,16,0,16,NA
2020-01-03,08:45:00,09:00:00,Arnulf,16,1,17,NA
2020-01-03,09:00:00,09:15:00,Arnulf,10,0,10,NA
2020-01-03,09:15:00,09:30:00,Arnulf,10,1,11,NA
2020-01-03,09:30:00,09:45:00,Arnulf,11,0,11,NA
2020-01-03,09:45:00,10:00:00,Arnulf,11,0,11,NA
2020-01-03,10:00:00,10:15:00,Arnulf,7,0,7,NA
2020-01-03,10:15:00,10:30:00,Arnulf,9,1,10,NA
2020-01-03,10:30:00,10:45:00,Arnulf,8,2,10,NA
2020-01-03,10:45:00,11:00:00,Arnulf,7,0,7,NA
2020-01-03,11:00:00,11:15:00,Arnulf,3,0,3,NA
2020-01-03,11:15:00,11:30:00,Arnulf,9,1,10,NA
2020-01-03,11:30:00,11:45:00,Arnulf,14,0,14,NA
2020-01-03,11:45:00,12:00:00,Arnulf,10,2,12,NA
2020-01-03,12:00:00,12:15:00,Arnulf,13,1,14,NA
2020-01-03,12:15:00,12:30:00,Arnulf,11,0,11,NA
2020-01-03,12:30:00,12:45:00,Arnulf,9,2,11,NA
2020-01-03,12:45:00,13:00:00,Arnulf,16,0,16,NA
2020-01-03,13:00:00,13:15:00,Arnulf,7,2,9,NA
2020-01-03,13:15:00,13:30:00,Arnulf,13,0,13,NA
2020-01-03,13:30:00,13:45:00,Arnulf,9,2,11,NA
2020-01-03,13:45:00,14:00:00,Arnulf,8,0,8,NA
2020-01-03,14:00:00,14:15:00,Arnulf,12,1,13,NA
2020-01-03,14:15:00,14:30:00,Arnulf,13,1,14,NA
2020-01-03,14:30:00,14:45:00,Arnulf,10,0,10,NA
2020-01-03,14:45:00,15:00:00,Arnulf,11,1,12,NA
2020-01-03,15:00:00,15:15:00,Arnulf,12,0,12,NA
2020-01-03,15:15:00,15:30:00,Arnulf,16,1,17,NA
2020-01-03,15:30:00,15:45:00,Arnulf,15,0,15,NA
2020-01-03,15:45:00,16:00:00,Arnulf,12,0,12,NA
2020-01-03,16:00:00,16:15:00,Arnulf,15,0,15,NA
2020-01-03,16:15:00,16:30:00,Arnulf,12,1,13,NA
2020-01-03,16:30:00,16:45:00,Arnulf,16,0,16,NA
2020-01-03,16:45:00,17:00:00,Arnulf,12,1,13,NA
2020-01-03,17:00:00,17:15:00,Arnulf,12,1,13,NA
2020-01-03,17:15:00,17:30:00,Arnulf,17,1,18,NA
2020-01-03,17:30:00,17:45:00,Arnulf,14,2,16,NA
2020-01-03,17:45:00,18:00:00,Arnulf,11,0,11,NA
2020-01-03,18:00:00,18:15:00,Arnulf,11,0,11,NA
2020-01-03,18:15:00,18:30:00,Arnulf,10,1,11,NA
2020-01-03,18:30:00,18:45:00,Arnulf,13,1,14,NA
2020-01-03,18:45:00,19:00:00,Arnulf,3,1,4,NA
2020-01-03,19:00:00,19:15:00,Arnulf,9,0,9,NA
2020-01-03,19:15:00,19:30:00,Arnulf,7,1,8,NA
2020-01-03,19:30:00,19:45:00,Arnulf,5,0,5,NA
2020-01-03,19:45:00,20:00:00,Arnulf,4,0,4,NA
2020-01-03,20:00:00,20:15:00,Arnulf,7,0,7,NA
2020-01-03,20:15:00,20:30:00,Arnulf,3,0,3,NA
2020-01-03,20:30:00,20:45:00,Arnulf,3,1,4,NA
2020-01-03,20:45:00,21:00:00,Arnulf,2,1,3,NA
2020-01-03,21:00:00,21:15:00,Arnulf,4,2,6,NA
2020-01-03,21:15:00,21:30:00,Arnulf,0,0,0,NA
2020-01-03,21:30:00,21:45:00,Arnulf,2,0,2,NA
2020-01-03,21:45:00,22:00:00,Arnulf,1,0,1,NA
2020-01-03,22:00:00,22:15:00,Arnulf,3,0,3,NA
2020-01-03,22:15:00,22:30:00,Arnulf,2,0,2,NA
2020-01-03,22:30:00,22:45:00,Arnulf,1,1,2,NA
2020-01-03,22:45:00,23:00:00,Arnulf,1,0,1,NA
2020-01-03,23:00:00,23:15:00,Arnulf,0,1,1,NA
2020-01-03,23:15:00,23:30:00,Arnulf,0,0,0,NA
2020-01-03,23:30:00,23:45:00,Arnulf,0,0,0,NA
2020-01-03,23:45:00,00:00:00,Arnulf,1,0,1,NA
2020-01-04,00:00:00,00:15:00,Arnulf,2,0,2,NA
2020-01-04,00:15:00,00:30:00,Arnulf,0,1,1,NA
2020-01-04,00:30:00,00:45:00,Arnulf,0,0,0,NA
2020-01-04,00:45:00,01:00:00,Arnulf,1,0,1,NA
2020-01-04,01:00:00,01:15:00,Arnulf,0,0,0,NA
2020-01-04,01:15:00,01:30:00,Arnulf,2,0,2,NA
2020-01-04,01:30:00,01:45:00,Arnulf,0,0,0,NA
2020-01-04,01:45:00,02:00:00,Arnulf,0,0,0,NA
2020-01-04,02:00:00,02:15:00,Arnulf,0,0,0,NA
2020-01-04,02:15:00,02:30:00,Arnulf,0,0,0,NA
2020-01-04,02:30:00,02:45:00,Arnulf,0,0,0,NA
2020-01-04,02:45:00,03:00:00,Arnulf,0,0,0,NA
2020-01-04,03:00:00,03:15:00,Arnulf,0,0,0,NA
2020-01-04,03:15:00,03:30:00,Arnulf,1,0,1,NA
