Month,Deutzer BrÃ¼cke,HohenzollernbrÃ¼cke,Neumarkt,ZÃ¼lpicher StraÃŸe,Bonner StraÃŸe,Venloer StraÃŸe,A.-SchÃ¼tte-Allee,Vorgebirgspark,A.-Silbermann-Weg,Stadtwald,NiederlÃ¤nder Ufer
Jan,52.972,38.958,74.797,96.297,49.498,91.246,15.868,9.692,56.291,23.360,21.856
Feb,58.747,40.516,77.594,93.105,50.217,93.126,18.936,10.750,55.424,28.639,26.557
Mrz,109.543,68.231,125.974,129.963,73.855,139.536,41.617,17.748,79.834,53.939,56.127
Apr,107.352,66.706,125.700,134.670,74.481,143.412,42.409,17.972,81.829,55.764,57.207
Mai,152.283,83.759,167.373,172.831,91.231,185.842,64.964,25.528,119.814,83.752,86.678
Jun,155.558,85.784,174.201,167.721,89.928,192.365,67.592,26.885,116.284,86.212,89.779
Jul,140.955,78.592,163.804,164.520,90.724,182.063,62.165,23.545,109.212,73.763,83.409
Aug,134.020,75.400,152.077,135.957,85.065,167.140,61.608,20.382,87.442,62.845,79.042
Sep,119.262,70.334,133.561,128.742,82.054,153.655,45.334,18.992,82.753,63.677,57.486
Okt,113.261,67.470,130.666,140.756,78.670,155.545,40.380,18.007,91.676,58.655,54.441
Nov,89.103,55.292,110.746,116.700,66.676,128.675,25.992,14.573,73.926,45.749,35.900
Dez,58.461,35.315,85.374,88.069,51.364,97.834,15.606,9.576,46.813,25.208,20.933